step,time,temp,ke,pe,etot,press
0,0.000000e+00,2.000000e+00,7.680000e+02,-1.629375e+03,-8.613751e+02,-4.608967e+00
100,5.000000e-01,1.206209e+00,4.631843e+02,-1.320568e+03,-8.573838e+02,1.745441e+00
200,1.000000e+00,1.094379e+00,4.202414e+02,-1.277515e+03,-8.572740e+02,2.268626e+00
300,1.500000e+00,1.081096e+00,4.151408e+02,-1.271838e+03,-8.566972e+02,2.513452e+00
400,2.000000e+00,1.107409e+00,4.252449e+02,-1.282833e+03,-8.575879e+02,2.207933e+00
500,2.500000e+00,1.103484e+00,4.237378e+02,-1.280836e+03,-8.570981e+02,2.392301e+00
600,3.000000e+00,1.069332e+00,4.106234e+02,-1.267805e+03,-8.571819e+02,2.617927e+00
700,3.500000e+00,1.036142e+00,3.978785e+02,-1.254968e+03,-8.570893e+02,2.763677e+00
800,4.000000e+00,1.066116e+00,4.093887e+02,-1.266430e+03,-8.570417e+02,2.614353e+00
900,4.500000e+00,1.080421e+00,4.148815e+02,-1.272029e+03,-8.571477e+02,2.335321e+00
1000,5.000000e+00,1.054841e+00,4.050589e+02,-1.261905e+03,-8.568459e+02,2.608358e+00
1100,5.500000e+00,1.096443e+00,4.210340e+02,-1.278864e+03,-8.578298e+02,2.304938e+00
1200,6.000000e+00,1.120192e+00,4.301538e+02,-1.287309e+03,-8.571548e+02,2.254607e+00
1300,6.500000e+00,1.090892e+00,4.189025e+02,-1.276422e+03,-8.575192e+02,2.411679e+00
1400,7.000000e+00,1.127634e+00,4.330114e+02,-1.289844e+03,-8.568322e+02,2.163916e+00
1500,7.500000e+00,1.096523e+00,4.210647e+02,-1.278093e+03,-8.570286e+02,2.317839e+00
1600,8.000000e+00,1.119302e+00,4.298119e+02,-1.286884e+03,-8.570723e+02,2.054197e+00
1700,8.500000e+00,1.168964e+00,4.488821e+02,-1.306107e+03,-8.572251e+02,1.832589e+00
1800,9.000000e+00,1.122317e+00,4.309699e+02,-1.288706e+03,-8.577357e+02,2.208451e+00
1900,9.500000e+00,1.108902e+00,4.258182e+02,-1.282628e+03,-8.568100e+02,2.298760e+00
2000,1.000000e+01,1.181579e+00,4.537263e+02,-1.310568e+03,-8.568420e+02,1.924294e+00
2100,1.050000e+01,1.150557e+00,4.418140e+02,-1.299354e+03,-8.575405e+02,1.912623e+00
2200,1.100000e+01,1.102419e+00,4.233290e+02,-1.280104e+03,-8.567753e+02,2.196581e+00
2300,1.150000e+01,1.107104e+00,4.251279e+02,-1.282378e+03,-8.572502e+02,2.308142e+00
2400,1.200000e+01,1.036183e+00,3.978943e+02,-1.254069e+03,-8.561746e+02,2.665171e+00
2500,1.250000e+01,1.055175e+00,4.051872e+02,-1.262062e+03,-8.568750e+02,2.687424e+00
2600,1.300000e+01,1.154923e+00,4.434902e+02,-1.300907e+03,-8.574169e+02,1.924758e+00
2700,1.350000e+01,1.052449e+00,4.041404e+02,-1.261489e+03,-8.573490e+02,2.624900e+00
2800,1.400000e+01,1.069568e+00,4.107142e+02,-1.268082e+03,-8.573681e+02,2.368249e+00
